UID,TERM,PELL,GRADUATED
651380,201018,2700.0,Yes
651531,201234,2300.0,Yes
651620,201238,694.0,Yes
651644,201234,2775.0,No
651656,201018,800.0,Yes
651897,201018,2750.0,Yes
651938,201234,700.0,Yes
651991,201234,2775.0,Yes
652058,201234,1800.0,Yes
652079,201234,2400.0,No
652119,201018,2775.0,Yes
652154,201124,1700.0,Yes
652156,201018,1150.0,Yes
652159,201018,2775.0,Yes
652235,201018,525.0,Yes
652288,201018,2350.0,No
652297,201018,2750.0,Yes
652386,201018,588.0,Yes
652446,201018,2250.0,No
652542,201018,1150.0,Yes
652596,201234,1650.0,No
652627,201018,1100.0,No
652628,201454,2865.0,Yes
652733,201018,2775.0,Yes
652848,201454,1140.0,Yes
652932,201128,1000.0,Yes
652947,201018,2300.0,Yes
652953,201018,2775.0,Yes
653179,201124,2775.0,No
653251,201018,2775.0,Yes
653317,201124,500.0,Yes
653324,201018,2775.0,Yes
653356,201018,277.0,Yes
653422,201124,2775.0,Yes
652552,201018,2750.0,Yes
653629,201018,2500.0,Yes
653770,201018,2775.0,Yes
653904,201018,2775.0,Yes
653945,201018,850.0,Yes
653966,201018,2700.0,Yes
654014,201018,2775.0,Yes
654024,201018,2775.0,Yes
654167,201124,1200.0,Yes
654271,201454,2040.0,Yes
654286,201018,1850.0,Yes
654290,201124,2200.0,Yes
654718,201018,2775.0,No
655022,201238,1125.0,No
655029,201344,498.0,Yes
655105,201344,1798.0,Yes
655164,201124,2775.0,Yes
655238,201018,2775.0,Yes
655424,201124,2775.0,Yes
655866,201018,1900.0,Yes
655964,201234,2775.0,No
656067,201018,0.0,Yes
656337,201234,2775.0,Yes
656338,201124,2775.0,Yes
656342,201018,2775.0,Yes
656451,201124,2775.0,No
656517,201018,2750.0,Yes
656779,201018,0.0,No
656813,201018,277.0,Yes
656814,201018,2050.0,Yes
656903,201018,2775.0,Yes
656909,201124,2700.0,Yes
657017,201128,1100.0,No
657082,201018,1200.0,Yes
657525,201018,1100.0,Yes
657610,201018,2775.0,No
657628,201234,1200.0,Yes
657746,201018,2775.0,Yes
657863,201018,2775.0,Yes
657883,201018,2775.0,Yes
658084,201238,2500.0,No
658197,201018,2400.0,Yes
658203,201124,1388.0,Yes
658326,201128,1375.0,No
658429,201018,1850.0,No
658646,201018,2200.0,Yes
658757,201018,1800.0,Yes
658923,201018,2700.0,No
658988,201018,2775.0,No
659158,201018,2775.0,Yes
659260,201018,750.0,Yes
659355,201124,2775.0,No
659359,201018,1850.0,Yes
659398,201674,1633.0,Yes
659492,201018,900.0,No
659593,201344,2823.0,No
659709,201018,1050.0,Yes
659725,201018,2775.0,Yes
659959,201344,2823.0,No
659986,201018,2775.0,Yes
660158,201124,2775.0,Yes
660335,201018,2750.0,Yes
660345,201124,2775.0,Yes
660397,201908,3098.0,Yes
660419,201128,90.95,No
660843,201018,277.0,No
661945,201238,2775.0,No
662077,201124,2775.0,No
662160,201128,2450.0,No
662607,201018,2775.0,Yes
662796,201018,2775.0,Yes
662873,201124,2775.0,Yes
662888,201018,588.0,Yes
663534,201124,900.0,Yes
663604,201124,1150.0,Yes
663650,201124,1100.0,Yes
665098,201018,800.0,Yes
665337,201018,1850.0,No
665596,201018,850.0,No
666088,201018,1200.0,Yes
666128,201124,2775.0,No
666226,201018,2400.0,Yes
666261,201018,1450.0,Yes
666287,201018,2750.0,No
666343,201018,2775.0,Yes
666671,201674,1483.0,Yes
667170,201124,1500.0,No
667179,201124,2050.0,Yes
667440,201018,2775.0,Yes
668366,201018,2775.0,Yes
668524,201124,2775.0,Yes
668586,201124,2775.0,Yes
669119,201344,1698.0,Yes
669121,201124,2000.0,No
669288,201454,1590.0,No
669457,201124,700.0,Yes
669463,201018,600.0,No
669466,201018,1200.0,Yes
669563,201124,2775.0,No
669667,201018,1150.0,No
669904,201018,2750.0,Yes
669969,201124,2775.0,Yes
669982,201018,2775.0,Yes
670059,201124,2775.0,Yes
670103,201018,277.0,Yes
670159,201018,1850.0,Yes
670232,201018,2150.0,Yes
670254,201018,2100.0,Yes
670460,201018,2775.0,Yes
670533,201018,2775.0,Yes
671294,201124,900.0,No
671309,201018,900.0,Yes
671336,201128,2775.0,No
671410,201018,1900.0,Yes
671465,201018,2775.0,Yes
671492,201128,2650.0,Yes
671503,201124,1400.0,Yes
671641,201454,2690.0,Yes
671801,201018,2775.0,Yes
671833,201344,2823.0,No
671866,201128,2100.0,Yes
671984,201018,2750.0,Yes
672001,201018,1950.0,Yes
672015,201018,1100.0,Yes
672019,201018,277.0,No
672201,201018,2775.0,Yes
672243,201018,277.0,No
672256,201018,2775.0,Yes
672292,201018,588.0,Yes
672293,201018,588.0,Yes
672363,201018,1950.0,No
672402,201018,588.0,Yes
672405,201234,2650.0,No
672479,201018,400.0,Yes
672593,201018,1250.0,Yes
672808,201018,1350.0,Yes
96410,201018,2700.0,No
96793,201018,2775.0,Yes
163958,201018,2775.0,No
188082,201018,2775.0,Yes
201049,202124,2223.0,No
205319,201018,2082.0,Yes
342623,201898,643.0,Yes
266892,201124,2082.0,Yes
271082,201784,1785.0,Yes
272893,201018,1388.0,Yes
274463,201128,1388.0,Yes
276393,201344,2823.0,Yes
375069,201018,950.0,Yes
380447,201018,1025.0,Yes
383648,201128,2775.0,No
524039,201124,2400.0,Yes
542002,201018,2700.0,Yes
672950,201124,2250.0,Yes
673395,201234,1450.0,No
673451,201018,2050.0,No
256382,201018,725.0,No
381855,201018,694.0,Yes
673491,201018,2775.0,Yes
369040,201018,2775.0,Yes
538812,201018,2775.0,Yes
673538,201018,588.0,Yes
673542,201018,277.0,Yes
673582,201238,2750.0,Yes
673643,201234,2600.0,Yes
673683,201674,2333.0,Yes
673798,201234,2775.0,Yes
673902,201674,1583.0,Yes
577219,201018,750.0,Yes
674098,201018,1900.0,Yes
354831,201018,2775.0,Yes
674302,201018,2775.0,Yes
674325,201234,2750.0,Yes
674378,201018,2550.0,Yes
674447,201018,2200.0,Yes
542756,201018,1900.0,Yes
674644,201124,2775.0,No
674654,201018,2775.0,No
674655,201018,588.0,Yes
674662,201018,2700.0,Yes
674700,201018,1050.0,Yes
674781,201018,1800.0,Yes
674901,201018,2775.0,Yes
283668,201018,2775.0,Yes
675254,201124,2350.0,Yes
675282,201454,2865.0,No
675299,201018,2200.0,Yes
675321,201018,1950.0,No
675327,201344,448.0,No
675348,201018,2500.0,No
675432,201018,2775.0,Yes
675479,201344,2823.0,No
675484,201124,2775.0,Yes
675574,201124,1100.0,Yes
675675,201128,2750.0,No
676130,201018,2775.0,Yes
676132,201124,1600.0,No
676220,201018,1500.0,Yes
676294,201018,600.0,Yes
676441,201124,1950.0,No
676464,201348,398.0,Yes
676584,201018,1900.0,Yes
586358,201018,1650.0,Yes
676865,201018,2775.0,Yes
676927,201018,588.0,Yes
677084,201018,1500.0,No
676923,201018,2750.0,No
677349,201018,400.0,Yes
677392,201018,2200.0,No
