UID,TERM,FGEN,GRADUATED
576615,201018,No,Yes
576629,201018,No,Yes
576642,201018,No,Yes
576661,201124,No,Yes
576663,201018,No,No
576664,201234,No,Yes
576668,201018,No,Yes
576672,201124,No,Yes
576678,201018,No,Yes
576680,201018,No,Yes
576698,201018,No,Yes
576713,201018,Yes,Yes
576825,201018,Yes,Yes
576826,201018,No,Yes
576884,201018,No,Yes
576886,201124,No,Yes
576898,201018,No,Yes
576909,201018,No,Yes
576915,201018,Yes,Yes
576939,201018,No,No
576941,201018,No,Yes
576944,201018,No,Yes
576995,201018,Yes,Yes
577078,201018,No,Yes
577083,201018,No,Yes
577087,201124,No,Yes
577108,201018,No,Yes
577110,201018,No,Yes
577112,201018,No,Yes
577129,201018,No,Yes
577141,201018,Yes,Yes
577189,201018,No,Yes
577199,201018,No,Yes
577235,201018,No,Yes
577236,201018,No,Yes
577249,201018,No,Yes
577289,201018,No,Yes
577342,201018,No,Yes
577367,201018,No,Yes
577368,201018,No,Yes
577385,201018,No,Yes
577392,201018,No,Yes
577404,201128,No,Yes
577436,201018,No,Yes
577465,201018,No,Yes
577499,201124,No,Yes
577563,201124,No,Yes
577606,201018,No,Yes
577620,201018,No,Yes
577622,201018,No,Yes
577626,201018,No,Yes
577638,201128,No,Yes
577646,201018,No,Yes
577680,201124,Yes,Yes
577728,202344,No,No
577786,201018,Yes,Yes
577794,201018,No,Yes
577795,201018,No,Yes
577811,201018,Yes,Yes
577824,201018,No,Yes
301407,201018,No,Yes
578036,201018,No,Yes
578037,201018,No,Yes
578048,201018,Yes,Yes
578228,201018,No,Yes
578230,201234,No,Yes
578286,201018,Yes,Yes
578325,201124,No,Yes
578327,201018,No,Yes
578351,201018,No,Yes
578399,201018,No,Yes
578685,201018,No,Yes
578711,201018,No,Yes
578740,201018,No,Yes
387672,201018,No,No
578858,201018,No,Yes
578879,201018,No,Yes
578898,201234,No,Yes
578899,201018,No,Yes
578904,201018,No,Yes
578937,201018,No,Yes
579002,201018,No,Yes
579039,201018,No,Yes
579068,201018,No,No
544681,201018,No,Yes
579267,201018,No,No
579313,201124,Yes,No
579384,201124,No,No
579411,201018,Yes,Yes
579430,201018,Yes,Yes
579483,201018,No,Yes
579485,201018,No,Yes
579543,201018,No,Yes
579569,201018,No,Yes
579657,201018,No,Yes
579697,201018,Yes,Yes
579723,201018,No,Yes
579725,201018,No,Yes
579852,201018,No,Yes
579921,201018,Yes,Yes
579973,201018,No,Yes
580047,201018,Yes,Yes
580114,201018,No,Yes
580125,201018,No,Yes
580128,201018,No,Yes
580159,201018,No,Yes
580178,201018,No,Yes
580223,201018,Yes,Yes
580267,201018,No,Yes
580271,201018,No,Yes
580353,201018,No,Yes
580377,201124,No,Yes
580407,201018,Yes,Yes
580541,201018,No,Yes
