UID,TERM,NON_PLU_SCHOLARSHIP,GRADUATED
618522,201018,777.0,Yes
618676,201018,3901.0,Yes
618936,201018,7608.0,Yes
618971,201018,4901.0,Yes
618990,201018,6213.0,Yes
619021,201018,5457.0,Yes
619242,201018,2400.0,Yes
619251,201018,7133.0,Yes
619317,201018,400.0,Yes
619462,201018,1100.0,Yes
619584,201018,2800.0,Yes
619593,201018,6713.0,Yes
619633,201018,3376.0,Yes
619766,201018,3275.0,Yes
619783,201018,3225.0,Yes
619811,201018,185.0,Yes
619887,201018,4628.0,Yes
620142,201018,4819.0,Yes
620336,201018,6489.0,Yes
620360,201018,6222.0,No
620523,201344,2555.0,Yes
620606,201018,7983.0,Yes
620685,201018,4001.0,Yes
620786,201018,2200.0,No
620812,201018,1800.0,Yes
621018,201124,6088.0,No
621039,201018,500.0,Yes
616454,201018,1850.0,Yes
621087,201018,6733.0,Yes
621120,201018,850.0,No
621354,201018,5887.0,Yes
621396,201018,4022.0,Yes
621409,201124,1400.0,Yes
621476,201018,3624.0,Yes
621536,201018,500.0,Yes
621554,201124,2914.0,No
621612,201018,7133.0,Yes
621925,201018,1463.0,No
622029,201018,2971.0,Yes
622235,201124,2650.0,Yes
622294,201018,6708.0,Yes
622366,201124,6005.0,Yes
622438,201018,3925.0,Yes
622524,201018,5065.0,No
622635,201018,6173.0,Yes
622697,201018,3275.0,Yes
622717,201018,6213.0,Yes
622751,201018,6958.0,No
524704,201018,1088.0,Yes
622894,201018,500.0,Yes
623033,201018,1925.0,Yes
623054,201454,8918.0,Yes
623066,201018,4051.0,No
623194,201018,2772.0,Yes
623322,201018,5320.0,Yes
623478,201018,500.0,Yes
623722,201128,5127.0,Yes
623869,201018,500.0,Yes
624072,201018,5344.0,Yes
624286,201018,3025.0,Yes
624337,201128,4619.0,Yes
624426,201018,2960.0,Yes
624442,201124,2868.0,Yes
624489,201124,500.0,No
624537,201124,6063.0,Yes
624589,201018,6213.0,Yes
624715,201128,7382.0,No
624742,201018,4799.0,Yes
624761,201018,6213.0,Yes
524428,201018,5592.0,Yes
624976,201018,5944.0,Yes
624979,201018,1876.0,Yes
624985,201124,4164.0,Yes
338276,201018,7133.0,Yes
625134,201018,6213.0,Yes
625362,201018,2353.0,No
625467,201018,1350.0,Yes
625487,201018,7058.0,Yes
625573,201128,5820.0,No
625665,201018,1550.0,Yes
625692,201458,6265.0,No
625723,201018,1088.0,Yes
625814,201348,3572.0,No
625835,201018,6213.0,Yes
625840,201018,6138.0,Yes
625912,201124,3275.0,No
625933,201018,3050.0,Yes
626002,201018,5888.0,Yes
626248,201018,500.0,Yes
626253,201018,3025.0,No
626254,201234,8828.0,No
626323,201018,4478.0,Yes
626344,201018,4628.0,Yes
626523,201018,500.0,No
626635,201234,7534.0,Yes
626636,201018,2000.0,Yes
626893,201018,3776.0,Yes
626898,201018,5928.0,Yes
626958,201018,500.0,Yes
626969,201018,3351.0,Yes
627083,201124,3964.0,Yes
627084,201124,3561.0,Yes
627247,201018,4173.0,Yes
627306,201018,2273.0,No
627499,201124,500.0,Yes
627588,201018,4619.0,Yes
627627,201018,5503.0,Yes
627694,201018,6733.0,Yes
627739,201128,6617.0,Yes
627753,201018,7133.0,Yes
627912,201018,7134.0,No
627964,201018,777.0,Yes
627967,201344,3323.0,No
628015,201018,1850.0,Yes
628323,201018,3275.0,Yes
628350,201124,5709.0,Yes
628351,201018,777.0,Yes
628504,201124,1700.0,Yes
628622,201018,1050.0,Yes
628692,201018,4827.0,Yes
628777,201018,3576.0,Yes
628861,201128,0.0,Yes
629062,201018,7058.0,No
629325,201124,5932.0,Yes
629374,201458,4454.0,Yes
629382,201018,377.0,Yes
629495,201018,5069.0,Yes
629678,201018,2376.0,Yes
629680,201128,1900.0,Yes
629695,201018,3275.0,No
629936,201018,6608.0,Yes
629949,201018,2775.0,No
629950,201348,3247.0,Yes
629976,201234,3250.0,Yes
629981,201018,4400.0,Yes
630100,201018,7133.0,Yes
630152,201124,1682.0,No
630206,201018,2250.0,Yes
630317,201018,6733.0,Yes
630318,201018,850.0,Yes
630630,201018,2200.0,Yes
630803,201124,3275.0,Yes
630804,201124,5534.0,Yes
631009,201018,7108.0,Yes
631309,201018,2272.0,Yes
631312,201124,6982.0,Yes
631562,201018,1900.0,Yes
631827,201018,6371.0,Yes
632104,201018,1400.0,Yes
632125,201234,3275.0,Yes
632132,201018,5169.0,Yes
632177,201018,6392.0,Yes
632260,201128,1550.0,Yes
632323,201238,1400.0,Yes
632410,201018,7283.0,Yes
632445,201784,7089.0,Yes
632464,201124,500.0,Yes
632657,201018,3049.0,Yes
632816,201018,4273.0,Yes
633068,201018,2375.0,No
633128,201018,500.0,Yes
633491,201018,2550.0,Yes
633531,201018,1500.0,Yes
289997,201018,3275.0,Yes
633672,201018,6358.0,Yes
633675,201018,4671.0,Yes
633688,201018,4222.0,No
633866,201238,6425.0,No
633964,201128,3275.0,No
633991,201018,3275.0,Yes
634220,201018,6633.0,Yes
634309,201018,5509.0,Yes
